movie_id,title,rank,title_ko,title_en,year,open_date_detail,rating,runtime_min,audience_total,genres,country,directors,num_directors,cast_main,num_cast_main,cine21_score_detail,netizen_score
8089,석류의 빛깔,1,석류의 빛깔,,1968,2025-11-26,12세이상관람가,79.0,,드라마,"러시아,아르메니아",세르게이 파라자노프,1,"소피코 치아우레리, 지오르지 제제츠코리, 스파르탁 바가쉬빌리",3,7.75,
60010,동에 번쩍 서에 번쩍,2,동에 번쩍 서에 번쩍,,2022,2025-11-26,12세이상관람가,101.0,186.0,어드벤처,한국,이광국,1,"여설희, 우화정, 서지안",3,5.67,
62383,주토피아 2,3,주토피아 2,,2025,2025-11-26,전체 관람가,108.0,1783.0,애니메이션,미국,"재러드 부시, 바이론 하워드",2,"지니퍼 굿윈, 제이슨 베이트먼, 키 호이 콴",3,,
62775,힘,4,힘,,2025,2025-11-26,청소년 관람불가,96.0,,"스포츠, 공포",미국,저스틴 팁핑,1,"타이릭 위더스, 말론 웨이언스",2,,
62696,극장판 나와 로보코,5,극장판 나와 로보코,,2025,2025-11-26,12세이상관람가,64.0,,"코미디, 애니메이션",일본,다이치 아키타로,1,,0,,
62698,인 더 로스트 랜드,6,인 더 로스트 랜드,,2025,2025-11-26,15세이상관람가,100.0,427.0,"판타지, 액션, SF",미국,폴 W.S. 앤더슨,1,"밀라 요보비치, 데이브 바티스타",2,,
62699,속초에서의 겨울,7,속초에서의 겨울,,2024,2025-11-26,12세이상관람가,106.0,,드라마,프랑스,코야 카무라,1,"벨라 킴, 로쉬디 젬, 박미현",3,5.67,
62705,한란,8,한란,,2025,2025-11-26,12세이상관람가,118.0,1103.0,드라마,한국,하명미,1,"김향기, 김민채, 황정남",3,6.5,
62710,넌센스,9,넌센스,,2023,2025-11-26,15세이상관람가,117.0,469.0,"스릴러, 드라마",한국,이제희,1,"오아연, 박용우, 오민애",3,7.0,
62734,"오늘 하늘이 가장 좋아,라고 아직 말할 수 없는 나는",10,"오늘 하늘이 가장 좋아,라고 아직 말할 수 없는 나는",,2024,2025-11-26,12세이상관람가,127.0,535.0,드라마,일본,오오쿠 아키코,1,"카와이 유미, 하기와라 리쿠, 이토 아오이",3,7.0,
62758,우리의 이름,11,우리의 이름,,2025,2025-11-26,15세이상관람가,82.0,,드라마,한국,이상록,1,"정순범, 민우석, 이상하",3,6.0,
62762,나의 이름은 마리아,12,나의 이름은 마리아,,2024,2025-11-26,15세이상관람가,103.0,352.0,"전기, 드라마",프랑스,제시카 팔뤼,1,"아나마리아 바르톨로메이, 맷 딜런, 주세페 마지오",3,6.33,
10302,엔드 오브 에반게리온,13,엔드 오브 에반게리온,,1997,2025-11-21,청소년 관람불가,87.0,43295.0,"애니메이션, SF",일본,안노 히데아키,1,하야시바라 메구미,1,8.0,8.0
62678,마사이 크로스,14,마사이 크로스,,2025,2025-11-20,12세이상관람가,90.0,1310.0,드라마,한국,이성관,1,"권오중, 앨리스 왕가리, 메리스 텐키아",3,5.0,
62781,지하 아이돌,15,지하 아이돌,,2025,2025-11-20,15세이상관람가,100.0,166.0,코미디,한국,이수성,1,"염승이, 강병수, 김영희",3,,
62195,콘티넨탈 '25,16,콘티넨탈 '25,,2025,2025-11-19,15세이상관람가,108.0,976.0,드라마,"루마니아,룩셈부르크,브라질,스위스,영국",라두 주데,1,"이스터 톰파, 가브리엘 스파히우, 아도니스 탄차",3,6.5,
62531,나혼자 프린스,17,나혼자 프린스,,2025,2025-11-19,12세이상관람가,116.0,43525.0,"코미디, 멜로·로맨스",한국,김성훈,1,"이광수, 황하, 음문석",3,4.0,
62716,맨홀,18,맨홀,,2024,2025-11-19,15세이상관람가,105.0,3885.0,드라마,한국,한지수,1,"김준호, 권소현, 민서",3,6.0,
62356,위키드: 포 굿,19,위키드: 포 굿,,2025,2025-11-19,전체 관람가,137.0,596274.0,"판타지, 어드벤처, 뮤지컬",미국,존 추,1,"신시아 에리보, 아리아나 그란데, 조나단 베일리",3,6.0,8.5
62582,국보,20,국보,,2025,2025-11-19,15세이상관람가,175.0,72021.0,드라마,일본,이상일,1,"요시자와 료, 요코하마 류세이, 타카하타 미츠키",3,6.83,
62759,초콜릿,21,초콜릿,,2025,2025-11-19,15세이상관람가,85.0,383.0,드라마,한국,양지은,1,"임채영, 김선혁, 정소영",3,2.5,
62760,포레스텔라 : 더 웨이브 인 시네마,22,포레스텔라 : 더 웨이브 인 시네마,,2025,2025-11-19,전체 관람가,115.0,6811.0,뮤직,한국,김한솔,1,"배두훈, 강형호, 조민규",3,,
62782,제이 켈리,23,제이 켈리,,2025,2025-11-19,15세이상관람가,131.0,1068.0,드라마,미국,노아 바움백,1,"조지 클루니, 아덤 샌들러, 로라 던",3,,
62661,꼬마돼지 베이브와 타피티,24,꼬마돼지 베이브와 타피티,,2025,2025-11-13,전체 관람가,81.0,21186.0,애니메이션,독일,니나 웰스,1,,0,,
62594,왼손잡이 소녀,25,왼손잡이 소녀,,2025,2025-11-12,15세이상관람가,108.0,7314.0,"드라마, 가족","대만,프랑스,미국,영국",쩌우스칭,1,"시 유안 마, 자넬 차이, 니나 예",3,6.67,
62645,럭키 데이 인 파리,26,럭키 데이 인 파리,,2023,2025-11-12,12세이상관람가,96.0,4944.0,"스릴러, 멜로·로맨스",미국,우디 앨런,1,"루 드 라쥬, 멜빌 푸포, 닐스 슈네데르",3,7.0,
62658,나우 유 씨 미 3,27,나우 유 씨 미 3,,2025,2025-11-12,12세이상관람가,112.0,1072692.0,"액션, 범죄",미국,루벤 플레셔,1,"제시 아이젠버그, 우디 해럴슨, 데이브 프랭코",3,4.5,4.0
62695,직지루트; 테라 인코그니타,28,직지루트; 테라 인코그니타,,2024,2025-11-12,전체 관람가,97.0,673.0,다큐멘터리,한국,우광훈,1,"아히안, 우광훈, 안재원",3,,
62680,제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,29,제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,,2025,2025-11-12,,89.0,7512.0,뮤직,한국,박준수,1,제이홉,1,,
62686,종이 울리는 순간,30,종이 울리는 순간,,2025,2025-11-12,전체 관람가,80.0,968.0,다큐멘터리,한국,"김주영, 소헤일리 코메일",2,"솔비, 남준기, 윤여창",3,6.5,
62693,후계자,31,후계자,,2023,2025-11-12,15세이상관람가,112.0,2077.0,스릴러,"프랑스,캐나다,벨기에",자비에 르그랑,1,"마크 앙드레 그롱당, 이브 자크",2,6.0,
62701,달팽이 농구단,32,달팽이 농구단,,2024,2025-11-12,15세이상관람가,118.0,7190.0,"액션, 드라마",한국,고은기,1,"박호산, 박경서, 서지석",3,5.0,
62736,토니 자의 리벤지,33,토니 자의 리벤지,,2024,2025-11-12,15세이상관람가,110.0,,액션,중국,청스위,1,"토니 자, 첸 둬이, 홍준자",3,,
62786,최초의 기억,34,최초의 기억,,2023,2025-11-12,12세이상관람가,141.0,446.0,드라마,한국,"안선경, 장건재",2,"박종환, 강민주, 이금주",3,6.33,
62738,마루는 강쥐,35,마루는 강쥐,,2025,2025-11-08,전체 관람가,39.0,,애니메이션,한국,,0,,0,,
62739,"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",36,"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",,2025,2025-11-08,15세이상관람가,90.0,,애니메이션,한국,,0,,0,,
62740,로보카폴리 사막 구조대 이야기,37,로보카폴리 사막 구조대 이야기,,2025,2025-11-08,전체 관람가,48.0,,애니메이션,한국,엄준영,1,"엄상현, 박선영",2,,
62741,반짝반짝 달님이,38,반짝반짝 달님이,,2025,2025-11-08,전체 관람가,68.0,,애니메이션,한국,"송인욱, 안승익",2,"설가은, 강은애, 윤용식",3,,
62742,샤샤 & 마일로,39,샤샤 & 마일로,,2025,2025-11-08,15세이상관람가,80.0,,애니메이션,한국,,0,,0,,
62743,용한 소녀,40,용한 소녀,,2025,2025-11-08,전체 관람가,54.0,,애니메이션,한국,,0,,0,,
62746,지구의 주인은 고양이다,41,지구의 주인은 고양이다,,2025,2025-11-08,전체 관람가,61.0,,애니메이션,한국,,0,,0,,
62706,극장판 똘똘이: 아기공룡의 비밀,42,극장판 똘똘이: 아기공룡의 비밀,,2025,2025-11-07,전체 관람가,77.0,36535.0,애니메이션,한국,최영진,1,"방연지, 사문영, 이명희",3,,
62581,리플레이,43,리플레이,,2025,2025-11-06,15세이상관람가,107.0,1598.0,드라마,한국,황경성,1,"조수민, 김동한, 손태양",3,4.0,
61646,에스퍼의 빛,44,에스퍼의 빛,,2024,2025-11-05,12세이상관람가,147.0,1473.0,"판타지, 어드벤처, 다큐멘터리",한국,정재훈,1,,0,7.17,
62154,구원자,45,구원자,,2025,2025-11-05,15세이상관람가,103.0,34494.0,미스터리,한국,신준,1,"김병철, 송지효, 김히어라",3,4.0,
62288,프레데터: 죽음의 땅,46,프레데터: 죽음의 땅,,2025,2025-11-05,15세이상관람가,107.0,415784.0,"액션, SF",미국,댄 트라첸버그,1,"엘 패닝, 디미트리우스 슈스터-콜로아마탕기",2,6.5,7.83
62527,부고니아,47,부고니아,,2025,2025-11-05,청소년 관람불가,118.0,70222.0,"코미디, 스릴러",미국,요르고스 란티모스,1,"엠마 스톤, 제시 플레먼스, 에이든 델비스",3,6.6,9.0
